FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,IMPUTED_RENTS,Including or not including imputed rents,FAM_MAIN_INCOME_SOURCE,Households main income source,TIME_PERIOD,Observation
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2012,35602
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2013,34188
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2014,34555
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2015,34775
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2016,33504
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2017,34585
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2018,35808
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2019,39786
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2020,38640
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2021,41593
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2022,46115
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2023,47471
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2010,32309
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2011,32093
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2012,31296
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2013,29634
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2014,30280
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2015,31151
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2016,30303
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2017,30965
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2018,31985
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2019,34708
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2020,33735
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2021,35237
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2022,39461
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2023,41932
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2010,31236
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2011,29958
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2012,29530
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2013,29203
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2014,29903
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2015,30211
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2016,30234
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2017,30016
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2018,30025
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2019,32625
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2020,32108
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2021,31504
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2022,33564
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2023,35759
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2010,24736
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2011,24084
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2012,24572
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2013,23328
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2014,24246
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2015,25200
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2016,25107
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2017,25227
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2018,25073
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2019,26607
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2020,26202
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2021,26233
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2022,28085
A,Annual,ITC3,Liguria,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2023,31446
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2010,35597
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2011,35431
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2012,35234
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2013,33916
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2014,34519
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2015,35319
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2016,35866
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2017,36784
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2018,36116
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2019,38144
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2020,37332
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2021,36665
A,Annual,ITC3,Liguria,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2022,39898
